time,position,rotation_matrix,velocity,action,lin_acc,obs,obs_norm
82.003,[-1.01188096e-04  4.48197452e-03  4.94067907e-01],"[[ 9.99999960e-01  1.54564596e-04  2.35855673e-04]
 [-1.54456067e-04  9.99999882e-01 -4.60096285e-04]
 [-2.35926760e-04  4.60059837e-04  9.99999866e-01]]",[ 0.00058816 -0.00687945  0.00495803],[ 0.7030784 -5.093933   5.4173574  0.6609249],[ 0.00154512 -0.00412156  0.01487107],"[-1.01188096e-04  4.48197452e-03  4.94067907e-01  9.99999960e-01
  1.54564596e-04  2.35855673e-04 -1.54456067e-04  9.99999882e-01
 -4.60096285e-04 -2.35926760e-04  4.60059837e-04  9.99999866e-01
  5.88163820e-04 -6.87944881e-03  4.95802592e-03  2.29554009e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.29554009e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.29554009e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]","[-2.0205975e-05  8.9633465e-04 -8.0237281e-01  1.0000000e+00
  1.5461445e-04  2.3591518e-04 -1.5443563e-04  9.9999988e-01
 -4.6008825e-04 -2.3591518e-04  4.6002865e-04  9.9999988e-01
  5.8889389e-05 -6.8795681e-04  4.9579144e-04 -2.4040174e-01
  0.0000000e+00  0.0000000e+00  0.0000000e+00 -2.4040174e-01
  0.0000000e+00  0.0000000e+00  0.0000000e+00 -2.4040174e-01
  0.0000000e+00  0.0000000e+00  0.0000000e+00]"
82.013,[-9.62359627e-05  4.45681624e-03  4.93991256e-01],"[[ 9.99999973e-01  1.18303162e-04  1.99353798e-04]
 [-1.18224934e-04  9.99999916e-01 -3.92373534e-04]
 [-1.99400201e-04  3.92349955e-04  9.99999903e-01]]",[ 0.00059733 -0.00689184  0.00504495],[ 1.8932483 -3.681798   1.5716033  0.3320343],[ 0.00118552 -0.00345434  0.01008107],"[-9.62359627e-05  4.45681624e-03  4.93991256e-01  9.99999973e-01
  1.18303162e-04  1.99353798e-04 -1.18224934e-04  9.99999916e-01
 -3.92373534e-04 -1.99400201e-04  3.92349955e-04  9.99999903e-01
  5.97325429e-04 -6.89183741e-03  5.04494924e-03  2.29554009e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.29554009e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.03078389e-01
 -5.09393311e+00  5.41735744e+00  6.60924911e-01]","[-1.92523003e-05  8.91447067e-04 -8.02403510e-01  1.00000000e+00
  1.18255615e-04  1.99317932e-04 -1.18196011e-04  1.00000000e+00
 -3.92377377e-04 -1.99377537e-04  3.92317772e-04  9.99999881e-01
  5.97238541e-05 -6.89208508e-04  5.04493713e-04 -2.40401745e-01
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.40401745e-01
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.73621857e-01
 -8.48988831e-01  9.02892947e-01  1.65231228e-01]"
82.027,[-9.12047180e-05  4.43069683e-03  4.93894935e-01],"[[ 9.99999984e-01  8.45760714e-05  1.56817223e-04]
 [-8.45170733e-05  9.99999926e-01 -3.76190832e-04]
 [-1.56849028e-04  3.76177572e-04  9.99999917e-01]]",[ 0.00060324 -0.00690296  0.0051232 ],[ 2.8844535 -1.5862402  1.8395754  0.2568119],[ 0.00076784 -0.00329557  0.01038157],"[-9.12047180e-05  4.43069683e-03  4.93894935e-01  9.99999984e-01
  8.45760714e-05  1.56817223e-04 -8.45170733e-05  9.99999926e-01
 -3.76190832e-04 -1.56849028e-04  3.76177572e-04  9.99999917e-01
  6.03237555e-04 -6.90296090e-03  5.12319574e-03  2.29554009e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.03078389e-01
 -5.09393311e+00  5.41735744e+00  6.60924911e-01  1.89324832e+00
 -3.68179798e+00  1.57160330e+00  3.32034290e-01]","[-1.8179417e-05  8.8620186e-04 -8.0244201e-01  1.0000000e+00
  8.4519386e-05  1.5676022e-04 -8.4519386e-05  1.0000000e+00
 -3.7616491e-04 -1.5681982e-04  3.7622452e-04  1.0000000e+00
  6.0439110e-05 -6.9028139e-04  5.1236153e-04 -2.4040174e-01
  0.0000000e+00  0.0000000e+00  0.0000000e+00 -7.7362186e-01
 -8.4898883e-01  9.0289295e-01  1.6523123e-01 -3.7510520e-01
 -6.1363298e-01  2.6193392e-01  8.3008528e-02]"
82.033,[-8.71674711e-05  4.42412589e-03  4.93687391e-01],"[[ 9.99999992e-01  4.12428547e-05  1.21352159e-04]
 [-4.11963755e-05  9.99999926e-01 -3.82988728e-04]
 [-1.21367945e-04  3.82983725e-04  9.99999919e-01]]",[ 0.00060476 -0.00689009  0.00533073],[ 2.8073683  -2.8047726   2.536688    0.29070622],[ 0.00038371 -0.00337103  0.01579463],"[-8.71674711e-05  4.42412589e-03  4.93687391e-01  9.99999992e-01
  4.12428547e-05  1.21352159e-04 -4.11963755e-05  9.99999926e-01
 -3.82988728e-04 -1.21367945e-04  3.82983725e-04  9.99999919e-01
  6.04763606e-04 -6.89009175e-03  5.33072538e-03  7.03078389e-01
 -5.09393311e+00  5.41735744e+00  6.60924911e-01  1.89324832e+00
 -3.68179798e+00  1.57160330e+00  3.32034290e-01  2.88445354e+00
 -1.58624017e+00  1.83957541e+00  2.56811887e-01]","[-1.7464161e-05  8.8489056e-04 -8.0252504e-01  1.0000000e+00
  4.1246414e-05  1.2135506e-04 -4.1186810e-05  1.0000000e+00
 -3.8295984e-04 -1.2135506e-04  3.8301945e-04  1.0000000e+00
  6.0439110e-05 -6.8902969e-04  5.3310394e-04 -7.7362186e-01
 -8.4898883e-01  9.0289295e-01  1.6523123e-01 -3.7510520e-01
 -6.1363298e-01  2.6193392e-01  8.3008528e-02 -4.3209910e-02
 -2.6437336e-01  3.0659592e-01  6.4203024e-02]"
82.05,[-8.50049764e-05  4.41887323e-03  4.93591011e-01],"[[ 9.99999992e-01  2.70820891e-05  1.24313483e-04]
 [-2.70344608e-05  9.99999926e-01 -3.83116386e-04]
 [-1.24323849e-04  3.83113022e-04  9.99999919e-01]]",[ 0.00060584 -0.00688526  0.00548121],[ 2.341508   -2.9699368   2.64805     0.33896962],[ 0.00076282 -0.00305563  0.01699062],"[-8.50049764e-05  4.41887323e-03  4.93591011e-01  9.99999992e-01
  2.70820891e-05  1.24313483e-04 -2.70344608e-05  9.99999926e-01
 -3.83116386e-04 -1.24323849e-04  3.83113022e-04  9.99999919e-01
  6.05844746e-04 -6.88525564e-03  5.48121229e-03  1.89324832e+00
 -3.68179798e+00  1.57160330e+00  3.32034290e-01  2.88445354e+00
 -1.58624017e+00  1.83957541e+00  2.56811887e-01  2.80736828e+00
 -2.80477262e+00  2.53668809e+00  2.90706217e-01]","[-1.6987324e-05  8.8381767e-04 -8.0256361e-01  1.0000000e+00
  2.7060509e-05  1.2433529e-04 -2.7060509e-05  1.0000000e+00
 -3.8313866e-04 -1.2433529e-04  3.8313866e-04  1.0000000e+00
  6.0558319e-05 -6.8855286e-04  5.4812431e-04 -3.7510520e-01
 -6.1363298e-01  2.6193392e-01  8.3008528e-02 -4.3209910e-02
 -2.6437336e-01  3.0659592e-01  6.4203024e-02 -6.9021165e-02
 -4.6746206e-01  4.2278135e-01  7.2676539e-02]"
82.057,[-8.27385957e-05  4.41235024e-03  4.93499607e-01],"[[ 9.99999987e-01  2.67491539e-05  1.59916292e-04]
 [-2.66930467e-05  9.99999938e-01 -3.50845241e-04]
 [-1.59925667e-04  3.50840968e-04  9.99999926e-01]]",[ 0.0006088  -0.00687985  0.00563243],[ 2.2240162 -3.246978   2.099728   0.384369 ],[ 0.00076282 -0.00305563  0.01699062],"[-8.27385957e-05  4.41235024e-03  4.93499607e-01  9.99999987e-01
  2.67491539e-05  1.59916292e-04 -2.66930467e-05  9.99999938e-01
 -3.50845241e-04 -1.59925667e-04  3.50840968e-04  9.99999926e-01
  6.08799628e-04 -6.87984600e-03  5.63242881e-03  2.88445354e+00
 -1.58624017e+00  1.83957541e+00  2.56811887e-01  2.80736828e+00
 -2.80477262e+00  2.53668809e+00  2.90706217e-01  2.34150791e+00
 -2.96993685e+00  2.64805007e+00  3.38969618e-01]","[-1.6570091e-05  8.8250637e-04 -8.0260015e-01  1.0000000e+00
  2.6702881e-05  1.5985966e-04 -2.6702881e-05  1.0000000e+00
 -3.5083294e-04 -1.5991926e-04  3.5083294e-04  1.0000000e+00
  6.0915947e-05 -6.8795681e-04  5.6326389e-04 -4.3209910e-02
 -2.6437336e-01  3.0659592e-01  6.4203024e-02 -6.9021165e-02
 -4.6746206e-01  4.2278135e-01  7.2676539e-02 -2.2500986e-01
 -4.9498945e-01  4.4134176e-01  8.4742427e-02]"
82.064,[-7.78427493e-05  4.39582253e-03  4.93353248e-01],"[[ 9.99999985e-01  3.09639765e-05  1.72583549e-04]
 [-3.09075934e-05  9.99999946e-01 -3.26693096e-04]
 [-1.72593656e-04  3.26687757e-04  9.99999932e-01]]",[ 0.00062035 -0.0068247   0.00583202],[ 2.447454   -2.5186934   2.1738164   0.34801006],[0.00088617 0.00077537 0.00980973],"[-7.78427493e-05  4.39582253e-03  4.93353248e-01  9.99999985e-01
  3.09639765e-05  1.72583549e-04 -3.09075934e-05  9.99999946e-01
 -3.26693096e-04 -1.72593656e-04  3.26687757e-04  9.99999932e-01
  6.20345372e-04 -6.82470290e-03  5.83202434e-03  2.80736828e+00
 -2.80477262e+00  2.53668809e+00  2.90706217e-01  2.34150791e+00
 -2.96993685e+00  2.64805007e+00  3.38969618e-01  2.22401619e+00
 -3.24697804e+00  2.09972811e+00  3.84368986e-01]","[-1.5556812e-05  8.7916851e-04 -8.0265868e-01  1.0000000e+00
  3.0994415e-05  1.7261505e-04 -3.0934811e-05  1.0000000e+00
 -3.2669306e-04 -1.7261505e-04  3.2663345e-04  1.0000000e+00
  6.1988831e-05 -6.8241358e-04  5.8317184e-04 -6.9021165e-02
 -4.6746206e-01  4.2278135e-01  7.2676539e-02 -2.2500986e-01
 -4.9498945e-01  4.4134176e-01  8.4742427e-02 -2.6435083e-01
 -5.4116297e-01  3.4995461e-01  9.6092224e-02]"
82.078,[-7.51963307e-05  4.38625040e-03  4.93297040e-01],"[[ 9.99999977e-01  7.00660139e-05  2.02751821e-04]
 [-7.00301044e-05  9.99999982e-01 -1.77112392e-04]
 [-2.02764226e-04  1.77098189e-04  9.99999964e-01]]",[ 0.00062752 -0.00676837  0.0059223 ],[ 2.4255018  -2.7265391   2.4638824   0.32347962],[0.00114134 0.00417957 0.0098094 ],"[-7.51963307e-05  4.38625040e-03  4.93297040e-01  9.99999977e-01
  7.00660139e-05  2.02751821e-04 -7.00301044e-05  9.99999982e-01
 -1.77112392e-04 -2.02764226e-04  1.77098189e-04  9.99999964e-01
  6.27524562e-04 -6.76836723e-03  5.92230379e-03  2.34150791e+00
 -2.96993685e+00  2.64805007e+00  3.38969618e-01  2.22401619e+00
 -3.24697804e+00  2.09972811e+00  3.84368986e-01  2.44745398e+00
 -2.51869345e+00  2.17381644e+00  3.48010063e-01]","[-1.5079975e-05  8.7726116e-04 -8.0268121e-01  1.0000000e+00
  7.0095062e-05  2.0277500e-04 -7.0035458e-05  1.0000000e+00
 -1.7708540e-04 -2.0277500e-04  1.7714500e-04  1.0000000e+00
  6.2823296e-05 -6.7681074e-04  5.9223175e-04 -2.2500986e-01
 -4.9498945e-01  4.4134176e-01  8.4742427e-02 -2.6435083e-01
 -5.4116297e-01  3.4995461e-01  9.6092224e-02 -1.8953490e-01
 -4.1978222e-01  3.6230278e-01  8.7002516e-02]"
82.085,[-7.24179772e-05  4.37596906e-03  4.93244469e-01],"[[ 9.99999976e-01  9.53462858e-05  1.98531120e-04]
 [-9.53260492e-05  9.99999990e-01 -1.01938624e-04]
 [-1.98540837e-04  1.01919696e-04  9.99999975e-01]]",[ 0.0006339  -0.00670636  0.00601939],[ 2.4308188 -2.8143582  2.378995   0.3066003],[0.00114134 0.00417957 0.0098094 ],"[-7.24179772e-05  4.37596906e-03  4.93244469e-01  9.99999976e-01
  9.53462858e-05  1.98531120e-04 -9.53260492e-05  9.99999990e-01
 -1.01938624e-04 -1.98540837e-04  1.01919696e-04  9.99999975e-01
  6.33900447e-04 -6.70635627e-03  6.01938627e-03  2.22401619e+00
 -3.24697804e+00  2.09972811e+00  3.84368986e-01  2.44745398e+00
 -2.51869345e+00  2.17381644e+00  3.48010063e-01  2.42550182e+00
 -2.72653913e+00  2.46388245e+00  3.23479623e-01]","[-1.4483929e-05  8.7523460e-04 -8.0270219e-01  1.0000000e+00
  9.5367432e-05  1.9848347e-04 -9.5307827e-05  1.0000000e+00
 -1.0192394e-04 -1.9854307e-04  1.0192394e-04  1.0000000e+00
  6.3419342e-05 -6.7061186e-04  6.0200691e-04 -2.6435083e-01
 -5.4116297e-01  3.4995461e-01  9.6092224e-02 -1.8953490e-01
 -4.1978222e-01  3.6230278e-01  8.7002516e-02 -1.9688535e-01
 -4.5442319e-01  4.1064715e-01  8.0869913e-02]"
82.093,[-6.95245617e-05  4.36503440e-03  4.93195355e-01],"[[ 9.99999982e-01  1.25517264e-04  1.44925414e-04]
 [-1.25509357e-04  9.99999991e-01 -5.45701747e-05]
 [-1.44932262e-04  5.45519842e-05  9.99999988e-01]]",[ 0.00063771 -0.00664291  0.00611681],[ 2.4009457  -2.899787    2.2760012   0.33502898],[ 4.95047003e-04  4.68996111e-03 -8.18583731e-01],"[-6.95245617e-05  4.36503440e-03  4.93195355e-01  9.99999982e-01
  1.25517264e-04  1.44925414e-04 -1.25509357e-04  9.99999991e-01
 -5.45701747e-05 -1.44932262e-04  5.45519842e-05  9.99999988e-01
  6.37710547e-04 -6.64291298e-03  6.11681250e-03  2.44745398e+00
 -2.51869345e+00  2.17381644e+00  3.48010063e-01  2.42550182e+00
 -2.72653913e+00  2.46388245e+00  3.23479623e-01  2.43081880e+00
 -2.81435823e+00  2.37899494e+00  3.06600302e-01]","[-1.3887882e-05  8.7296963e-04 -8.0272186e-01  1.0000000e+00
  1.2552738e-04  1.4495850e-04 -1.2552738e-04  1.0000000e+00
 -5.4597855e-05 -1.4495850e-04  5.4597855e-05  1.0000000e+00
  6.3776970e-05 -6.6429377e-04  6.1166286e-04 -1.8953490e-01
 -4.1978222e-01  3.6230278e-01  8.7002516e-02 -1.9688535e-01
 -4.5442319e-01  4.1064715e-01  8.0869913e-02 -1.9510502e-01
 -4.6905971e-01  3.9649916e-01  7.6650023e-02]"
