t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz,thrust_N,roll,pitch
0,1.5,0,1,0,1,0,-0.666666666666667,0,0,0,0,0.999424542354393,0,-0.033920261492389,0,2.30083460761525,0,-0.067853539096793
0.02,1.49986666864196,0.019999407412675,1,-0.013332938275117,0.999911112427976,0,-0.666607408285317,-0.008888625516744,0,0,0,0.99942454223627,0.000452778219413,-0.033917239445392,-1.53658296694844E-05,2.30083460761525,0.00090816725898,-0.067847470594886
0.04,1.49946669827086,0.039995259427816,1,-0.026663506285211,0.999644465513904,0,-0.666429643675936,-0.017775670856807,0,0,0,0.999424541882241,0.000905475388395,-0.03390817385282,-3.07206953626674E-05,2.30083460761525,0.001816169334818,-0.067829266227832
0.06,1.49880015999147,0.059984001279951,1,-0.039989334186634,0.999200106660978,0,-0.666133404440652,-0.026659556124423,0,0,0,0.999424541293314,0.001358010471818,-0.03389306635981,-4.60536410073443E-05,2.30083460761525,0.00272384107979,-0.067798929411345
0.08,1.49786717229774,0.079962079467618,1,-0.053308052978412,0.998578114865157,0,-0.665718743243438,-0.035538701985608,0,0,0,0.999424540471169,0.001810302465168,-0.033871919707874,-6.13537263335744E-05,2.30083460761525,0.003631017416992,-0.067756465837277
0.1,1.49666790105168,0.09992594238509,1,-0.066617294923393,0.997778600701122,0,-0.665185733800748,-0.044411529948929,0,0,0,0.999424539418155,0.00226227040983,-0.033844737734319,-7.66100347599926E-05,2.30083460761525,0.004537533375705,-0.067701883472125
0.12,1.49520255945393,0.119872040953759,1,-0.079914693969173,0.996801706302619,0,-0.664534470868413,-0.053276462646115,0,0,0,0.999424538137274,0.002713833408378,-0.033811525371441,-9.1811681262351E-05,2.30083460761525,0.005443224126718,-0.06763519255493
0.14,1.49347140800579,0.139796829253081,1,-0.093197886168721,0.995647605337191,0,-0.663765070224794,-0.06213192411248,0,0,0,0.999424536632182,0.003164910639833,-0.033772288645484,-0.000106947820218,2.30083460761525,0.006347925017582,-0.067556405594592
0.16,1.49147475446295,0.159696765150944,1,-0.106464510100629,0.994316502975302,0,-0.662877668650201,-0.070976340067086,0,0,0,0.999424534907174,0.00361542137491,-0.033727034675374,-0.000122007653223,2.30083460761525,0.007251471607781,-0.067465537366574
0.18,1.4892129537808,0.179568310933379,1,-0.119712207288919,0.992808635853866,0,-0.661872423902577,-0.079808138192613,0,0,0,0.999424532967171,0.00406528499124,-0.033675771671219,-0.000136980436869,2.30083460761525,0.008153699703812,-0.067362604909033
0.2,1.48668640805127,0.199407933933471,1,-0.132938622622314,0.991124272034179,0,-0.660749514689453,-0.088625748414876,0,0,0,0.999424530817709,0.004514420988554,-0.033618508932583,-0.000151855490484,2.30083460761525,0.009054445394142,-0.067247627518343
0.22,1.48389556643139,0.219212107159384,1,-0.146141404772923,0.989263710954262,0,-0.659509140636174,-0.097427603181948,0,0,0,0.999424528464921,0.004962749003843,-0.033555256846534,-0.000166622203824,2.30083460761525,0.009953545084048,-0.067120626744048
0.24,1.48084092506344,0.238977309921369,1,-0.159318206614246,0.987227283375627,0,-0.658151522250418,-0.106212137742831,0,0,0,0.999424525915518,0.00541018882648,-0.033486026885462,-0.000181270044712,2.30083460761525,0.010850835530303,-0.066981626383221
0.26,1.47752302698672,0.258700028457659,1,-0.172466685638439,0.985015351324482,0,-0.656676900882988,-0.114977790425626,0,0,0,0.999424523176775,0.005856660413292,-0.033410831604667,-0.000195788566617,2.30083460761525,0.011746153875705,-0.066830652474252
0.28,1.47394246204105,0.278376756559124,1,-0.185584504372749,0.982628308027364,0,-0.65508553868491,-0.123723002915166,0,0,0,0.999424520256505,0.006302083903599,-0.033329684639733,-0.000210167416171,2.30083460761525,0.012639337683432,-0.066667733290058
0.3,1.47009986676186,0.298003996192592,1,-0.198669330795061,0.980066577841242,0,-0.653377718560828,-0.132446220530041,0,0,0,0.999424517163037,0.006746379634193,-0.033242600703666,-0.000224396340618,2.30083460761525,0.013530224971205,-0.066492899330726
0.32,1.4659959242671,0.31757825812271,1,-0.211718838748473,0.977330616178066,0,-0.651553744118711,-0.141145892498982,0,0,0,0.999424513905197,0.007189468154273,-0.033149595583819,-0.000238465195181,2.30083460761525,0.014418654245249,-0.066306183315591
0.34,1.46163136413572,0.337096062532243,1,-0.224730708354829,0.974420909423816,0,-0.649613939615877,-0.149820472236553,0,0,0,0.999424510492275,0.007631270240312,-0.033050686138587,-0.000252363950357,2.30083460761525,0.015304464534031,-0.066107620174757
0.36,1.45700696227804,0.356553939640702,1,-0.237702626427135,0.971337974852029,0,-0.647558649901353,-0.15846841761809,0,0,0,0.999424506934008,0.008071706910875,-0.032945890293889,-0.000266082699118,2.30083460761525,0.016187495421763,-0.065897247040065
0.38,1.45212354079777,0.37594843032118,1,-0.250632286880787,0.968082360531844,0,-0.645388240354562,-0.167088191253858,0,0,0,0.999424503240543,0.008510699441364,-0.032835227039428,-0.000279611664028,2.30083460761525,0.017067587081666,-0.06567510323551
0.4,1.44698196784585,0.395276086715303,1,-0.263517391143535,0.964654645230564,0,-0.643103096820376,-0.175678260762357,0,0,0,0.999424499422412,0.008948169378698,-0.032718716424734,-0.000292941204254,2.30083460761525,0.017944580308962,-0.065441230267134
0.42,1.44158315746616,0.414533472846171,1,-0.276355648564114,0.961055438310771,0,-0.640703625540514,-0.184237099042742,0,0,0,0.999424495490504,0.009384038555915,-0.032596379554993,-0.000306061822486,2.30083460761525,0.018818316553597,-0.065195671812363
0.44,1.43592806943299,0.43371716522919,1,-0.28914477681946,0.957285379621994,0,-0.638190253081329,-0.192763184546307,0,0,0,0.99942449145603,0.009818229106711,-0.032468238586658,-0.000318964171741,2.30083460761525,0.019688637952676,-0.064938473708844
0.46,1.43001770908044,0.452823753480685,1,-0.301882502320457,0.953345139386958,0,-0.635563426257972,-0.201255001546971,0,0,0,0.999424487330494,0.010250663479884,-0.03233431672286,-0.00033163906206,2.30083460761525,0.020555387362598,-0.064669683942743
0.48,1.42385312712366,0.471849840924177,1,-0.314566560616118,0.949235418082441,0,-0.63282361205496,-0.209711040410745,0,0,0,0.999424483125656,0.010681264453704,-0.032194638208591,-0.000344077467086,2.30083460761525,0.021418408390873,-0.064389352636552
0.5,1.41743541947211,0.490792045194228,1,-0.327194696796152,0.944956946314738,0,-0.629971297543158,-0.218129797864101,0,0,0,0.999424478853503,0.011109955150196,-0.032049228325697,-0.000356270530521,2.30083460761525,0.022277545427625,-0.06409753203638
0.52,1.41076572703468,0.509646998837748,1,-0.339764665891832,0.940510484689784,0,-0.627006989793189,-0.226509777261221,0,0,0,0.999424474526214,0.01153665904933,-0.031898113387653,-0.000368209572459,2.30083460761525,0.023132643676748,-0.063794276498761
0.54,1.4038452355169,0.528411349912635,1,-0.35227423327509,0.935896823677935,0,-0.62393121578529,-0.23484948885006,0,0,0,0.999424470156121,0.01196130000312,-0.031741320734138,-0.000379886095582,2.30083460761525,0.023983549186722,-0.063479642476973
0.56,1.39667517521016,0.547081762583675,1,-0.364721175055783,0.931116783473442,0,-0.620744522315628,-0.243147450037189,0,0,0,0.999424465755678,0.012383802249623,-0.031578878725412,-0.000391291791226,2.30083460761525,0.024830108881068,-0.063153688506889
0.58,1.38925682077296,0.565654917715564,1,-0.377103278477043,0.926171213848641,0,-0.617447475899094,-0.251402185651362,0,0,0,0.999424461337425,0.012804090426845,-0.031410816736488,-0.000402418545306,2.30083460761525,0.025672170588435,-0.062816475192352
