t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz,thrust_N,roll,pitch
0.0,1.5,0.0,1.0,-0.0,2.0,0.0,-2.6666666666666665,-0.0,0.0,0.0,0.0,0.9912070723137711,0.0,-0.1323198390082245,0.0,2.378840030687226,0.0,-0.26541806895719433
0.02,1.4994666982708558,0.03999525942781607,1.0,-0.05332701257042143,1.9992889310278077,0.0,-2.6657185747037433,-0.07110268342722857,0.0,0.0,0.0,0.9912069564098948,0.003592076903911201,-0.1322710730986894,-0.00047934274841476425,2.378840030687226,0.007510654492864888,-0.2653142876904331
0.04,1.4978671722977355,0.07996207946761824,1.0,-0.10661610595682433,1.997156229730314,0.0,-2.6628749729737518,-0.14215480794243243,0.0,0.0,0.0,0.9912066100881144,0.007181314431509255,-0.13212482173383713,-0.0009572473381643863,2.378840030687226,0.015013940552832918,-0.26500308424535124
0.06,1.495202559453929,0.11987204095375903,1.0,-0.15982938793834536,1.9936034126052389,0.0,-2.6581378834736515,-0.21310585058446047,0.0,0.0,0.0,0.9912060375003275,0.010764877236182278,-0.13188122388441947,-0.0014322806068186166,2.378840030687226,0.02250251077986909,-0.2644848790372334
0.08,1.4914747544629523,0.15969676515094422,1.0,-0.21292902020125895,1.9886330059506032,0.0,-2.651510674600804,-0.28390536026834523,0.0,0.0,0.0,0.9912052455077904,0.014339938011374832,-0.13154051076756687,-0.0019030193584429205,2.378840030687226,0.029969059664224258,-0.2637603705971687
0.1,1.4866864080512692,0.19940793393347112,1.0,-0.26587724524462814,1.9822485440683588,0.0,-2.6429980587578115,-0.35450299365950416,0.0,0.0,0.0,0.9912042435941334,0.01790368146244586,-0.13110300524874982,-0.0023680552821604937,2.378840030687226,0.03740634409557206,-0.2628305323537399
0.12,1.4808409250634404,0.23897730992136892,1.0,-0.3186364132284919,1.9744545667512539,0.0,-2.632606089001672,-0.4248485509713225,0.0,0.0,0.0,0.9912030437453282,0.021453308221265115,-0.13056912101077284,-0.002825999793785415,2.378840030687226,0.04480720335612646,-0.2616966081735146
0.14,1.4739424620410466,0.27837675655912375,1.0,-0.3711690087454983,1.965256616054729,0.0,-2.6203421547396384,-0.4948920116606644,0.0,0.0,0.0,0.9912016602983046,0.024986038685356295,-0.12993936149595442,-0.003275488776029007,2.378840030687226,0.05216457843753518,-0.26036010670555076
0.16,1.4659959242670988,0.31757825812270973,1.0,-0.42343767749694633,1.9546612323561319,0.0,-2.6062149764748423,-0.5645835699959284,0.0,0.0,0.0,0.9912001097603617,0.028499116764144506,-0.1292143186292684,-0.003715187193739512,2.378840030687226,0.05947153053110859,-0.2588227945867292
0.18,1.4570069622780446,0.35655393964070187,1.0,-0.47540525285426916,1.9426759497040593,0.0,-2.590234599605412,-0.6338736704723589,0.0,0.0,0.0,0.991198410601911,0.03198981351577992,-0.12839467133174984,-0.004143793561803975,2.378840030687226,0.06672125855272601,-0.25708668857544037
0.2,1.4469819678458458,0.39527608671530257,1.0,-0.5270347822870701,1.9293092904611278,0.0,-2.5724123872815037,-0.7027130430494268,0.0,0.0,0.0,0.991196583025448,0.035455430659074576,-0.12748118383487816,-0.004560044244702786,2.378840030687226,0.07390711557729662,-0.25515404669074004
0.22,1.4359280694329906,0.43371716522919046,1.0,-0.5782895536389207,1.9145707592439873,0.0,-2.552761012325316,-0.7710527381852275,0.0,0.0,0.0,0.9911946487139524,0.03889330394628961,-0.1264747038079314,-0.0049627175682406275,2.378840030687226,0.0810226240726501,-0.25302735844249447
0.24,1.4238531271236612,0.4718498409241766,1.0,-0.6291331212322354,1.8984708361648817,0.0,-2.531294448219842,-0.8388441616429805,0.0,0.0,0.0,0.9911926305621761,0.042300806383826724,-0.1253761603114422,-0.005350637725659781,2.378840030687226,0.08806148983886766,-0.25070933424510655
0.26,1.4107657270346756,0.5096469988377479,1.0,-0.6795293317836638,1.8810209693795674,0.0,-2.5080279591727566,-0.906039109044885,0.0,0.0,0.0,0.991190552394471,0.04567535128929191,-0.1241865615908671,-0.005722678462147722,2.378840030687226,0.09501761457601252,-0.24820289411308627
